Year,Regional Site,Game,Winning Team,Runs,Seed,Losing Team,Runs,Seed
2005,"Gainesville, FL",6,Florida,23,1,Notre Dame,3,3
2005,"Tallahassee, FL",1,Auburn,13,2,South Alabama,5,3
2005,"Tallahassee, FL",2,Florida St.,3,1,Army,2,4
2005,"Tallahassee, FL",3,Army,8,4,South Alabama,5,3
2005,"Tallahassee, FL",4,Florida St.,4,1,Auburn,3,2
2005,"Tallahassee, FL",5,Auburn,12,2,Army,3,4
2005,"Tallahassee, FL",6,Florida St.,10,1,Auburn,4,2
2006,"Clemson, SC",1,Elon,5,2,Mississippi St.,4,3
2006,"Clemson, SC",2,Clemson,3,1,NC Asheville,0,4
2006,"Clemson, SC",3,Mississippi St.,5,3,NC Asheville,4,4
2006,"Clemson, SC",4,Clemson,13,1,Elon,3,2
2006,"Clemson, SC",5,Mississippi St.,12,3,Elon,3,2
2006,"Clemson, SC",6,Clemson,8,1,Mississippi St.,6,3
2006,"Fayetteville, AR",1,Oklahoma St.,4,1,Princeton,1,4
2006,"Fayetteville, AR",2,Oral Roberts,4,3,Arkansas,3,2
2006,"Fayetteville, AR",3,Arkansas,6,2,Princeton,2,4
2006,"Fayetteville, AR",4,Oral Roberts,5,3,Oklahoma St.,4,1
2006,"Fayetteville, AR",5,Oklahoma St.,6,1,Arkansas,5,2
2006,"Fayetteville, AR",6,Oral Roberts,9,3,Oklahoma St.,2,1
2006,Atlanta,1,Vanderbilt,5,2,Michigan,2,3
2006,Atlanta,2,Georgia Tech,7,1,Stetson,5,4
2006,Atlanta,3,Michigan,11,3,Stetson,1,4
2006,Atlanta,4,Georgia Tech,7,1,Vanderbilt,3,2
2006,Atlanta,5,Vanderbilt,5,2,Michigan,4,3
2006,Atlanta,6,Georgia Tech,8,1,Vanderbilt,4,2
2006,"Lexington, KY",1,College of Charleston,5,2,Notre Dame,4,3
2006,"Lexington, KY",2,Ball State,3,4,Kentucky,1,1
2006,"Lexington, KY",3,Kentucky,10,1,Notre Dame,4,3
2006,"Lexington, KY",4,College of Charleston,11,2,Ball State,0,4
2006,"Lexington, KY",5,Kentucky,12,1,Ball State,9,4
2006,"Lexington, KY",6,College of Charleston,7,2,Kentucky,4,1
2006,Tuscaloosa,1,Troy,10,2,Southern Miss.,8,3
2006,Tuscaloosa,2,Alabama,13,1,Jacksonville St.,1,4
2006,Tuscaloosa,3,Southern Miss.,6,3,Jacksonville St.,2,4
2006,Tuscaloosa,4,Alabama,4,1,Troy,3,2
2006,Tuscaloosa,5,Troy,6,2,Southern Miss.,5,3
2006,Tuscaloosa,6,Alabama,14,1,Troy,5,2
2006,Chapel Hill,1,Winthrop,14,2,NC Wilmington,2,3
2006,Chapel Hill,2,North Carolina,15,1,Maine,7,4
2006,Chapel Hill,3,NC Wilmington,21,3,Maine,19,4
2006,Chapel Hill,4,North Carolina,14,1,Winthrop,4,2
2006,Chapel Hill,5,Winthrop,5,2,NC Wilmington,3,3
2006,Chapel Hill,6,North Carolina,14,1,Winthrop,2,2
2006,"Fullerton, CA",1,Fresno St.,9,2,San Diego,8,3
2006,"Fullerton, CA",2,Cal St. Fullerton,6,1,St. Louis,1,4
2006,"Fullerton, CA",3,San Diego,19,3,St. Louis,12,4
2006,"Fullerton, CA",4,Cal St. Fullerton,9,1,Fresno St.,2,2
2006,"Fullerton, CA",5,Fresno St.,9,2,San Diego,8,3
2006,"Fullerton, CA",6,Cal St. Fullerton,10,1,Fresno St.,3,2
2006,"Malibu, CA",1,UCLA,2,2,UC Irvine,2,3
2006,"Malibu, CA",2,Pepperdine,3,1,Missouri,2,4
2006,"Malibu, CA",3,Missouri,5,4,UC Irvine,4,3
2006,"Malibu, CA",4,Pepperdine,6,1,UCLA,0,2
2006,"Malibu, CA",5,Missouri,2,4,UCLA,1,2
2006,"Malibu, CA",6,Missouri,4,4,Pepperdine,1,1
2006,"Malibu, CA",7,Missouri,8,4,Pepperdine,3,1
2006,"Austin, TX",1,Stanford,7,3,North Carolina St.,2,2
2006,"Austin, TX",2,Texas,9,1,Texas-Arlington,1,4
2006,"Austin, TX",3,North Carolina St.,6,2,Texas-Arlington,5,4
2006,"Austin, TX",4,Stanford,12,3,Texas,8,1
2006,"Austin, TX",5,North Carolina St.,6,2,Texas,3,1
2006,"Austin, TX",6,Stanford,17,3,North Carolina St.,7,2
2006,"Corvallis, OR",1,Kansas,9,2,Hawaii,6,3
2006,"Corvallis, OR",2,Oregon St.,5,1,Wright St.,3,4
2006,"Corvallis, OR",3,Hawaii,5,3,Wright St.,3,4
2006,"Corvallis, OR",4,Oregon St.,11,1,Kansas,3,2
2006,"Corvallis, OR",5,Hawaii,9,3,Kansas,5,2
2006,"Corvallis, OR",6,Oregon St.,12,1,Hawaii,3,3
2006,"Lincoln, NE",1,Manhattan,4,4,Nebraska,1,1
2006,"Lincoln, NE",2,Miami,11,2,San Francisco,2,3
2006,"Lincoln, NE",3,San Francisco,5,3,Nebraska,1,1
2006,"Lincoln, NE",4,Miami,8,2,Manhattan,2,4
2006,"Lincoln, NE",5,Manhattan,6,4,San Francisco,4,3
2006,"Lincoln, NE",6,Miami,10,2,Manhattan,4,4
2006,"Oxford, MS",1,South Alabama,7,3,Tulane,1,2
2006,"Oxford, MS",2,Mississippi,3,1,Bethune-Cookman,2,4
2006,"Oxford, MS",3,Tulane,12,2,Bethune-Cookman,7,4
2006,"Oxford, MS",4,Mississippi,9,1,South Alabama,7,3
2006,"Oxford, MS",5,Tulane,18,2,South Alabama,11,3
2006,"Oxford, MS",6,Mississippi,12,1,Tulane,4,2
2006,Houston,1,Rice,6,1,Prairie View A&M,5,4
2006,Houston,2,Baylor,3,3,Arizona St.,2,2
2006,Houston,3,Arizona St.,13,2,Prairie View A&M,4,4
2006,Houston,4,Rice,7,1,Baylor,2,3
2006,Houston,5,Baylor,7,3,Arizona St.,2,2
2006,Houston,6,Rice,7,1,Baylor,4,3
2006,"Norman, OK",1,Wichita St.,2,3,Houston,1,2
2006,"Norman, OK",2,TCU,6,4,Oklahoma,5,1
2006,"Norman, OK",3,Oklahoma,8,1,Houston,6,2
2006,"Norman, OK",4,Wichita St.,18,3,TCU,8,4
2006,"Norman, OK",5,Oklahoma,15,1,TCU,6,4
2006,"Norman, OK",6,Oklahoma,12,1,Wichita St.,7,3
2006,"Norman, OK",7,Oklahoma,7,1,Wichita St.,6,3
2006,"Athens, GA",1,Florida St.,18,2,Jacksonville,0,3
2006,"Athens, GA",2,Georgia,11,1,Sacred Heart,0,4
2006,"Athens, GA",3,Jacksonville,4,3,Sacred Heart,3,4
2006,"Athens, GA",4,Florida St.,6,2,Georgia,4,1
2006,"Athens, GA",5,Georgia,15,1,Jacksonville,7,3
2006,"Athens, GA",6,Georgia,7,1,Florida St.,1,2
2006,"Athens, GA",7,Georgia,3,1,Florida St.,2,2
2006,"Charlottesville, VA",1,Virginia,11,1,Lehigh,5,4
2006,"Charlottesville, VA",2,South Carolina,4,2,Evansville,2,3
2006,"Charlottesville, VA",3,Evansville,10,3,Lehigh,6,4
2006,"Charlottesville, VA",4,South Carolina,8,2,Virginia,2,1
2006,"Charlottesville, VA",5,Evansville,15,3,Virginia,4,1
2006,"Charlottesville, VA",6,Evansville,15,3,South Carolina,5,2
2006,"Charlottesville, VA",7,South Carolina,5,2,Evansville,1,3
2007,Nashville,1,Michigan,10,2,Memphis,7,3
2007,Nashville,2,Vanderbilt,2,1,Austin Peay,1,4
2007,Nashville,3,Austin Peay,18,4,Memphis,7,3
2007,Nashville,4,Michigan,4,2,Vanderbilt,3,1
2007,Nashville,5,Vanderbilt,11,1,Austin Peay,5,4
2007,Nashville,6,Vanderbilt,10,1,Michigan,7,2
2007,Nashville,7,Michigan,4,2,Vanderbilt,3,1
2007,Charlottesville,1,Virginia,5,1,Lafayette,1,4
2007,Charlottesville,2,Oregon St.,5,3,Rutgers,1,2
2007,Charlottesville,3,Rutgers,11,2,Lafayette,10,4
2007,Charlottesville,4,Virginia,7,1,Oregon St.,4,3
2007,Charlottesville,5,Oregon St.,5,3,Rutgers,2,2
2007,Charlottesville,6,Oregon St.,5,3,Virginia,3,1
2007,Charlottesville,7,Oregon St.,7,3,Virginia,3,1
2007,San Diego,1,Cal St. Fullerton,7,2,Minnesota,1,3
2007,San Diego,2,Fresno St.,6,4,San Diego,2,1
2007,San Diego,3,Minnesota,6,3,San Diego,5,1
2007,San Diego,4,Cal St. Fullerton,6,2,Fresno St.,4,4
2007,San Diego,5,Fresno St.,11,4,Minnesota,6,3
2007,San Diego,6,Cal St. Fullerton,13,2,Fresno St.,2,4
2007,Long Beach,1,UCLA,7,2,Pepperdine,3,3
2007,Long Beach,2,Illinois-Chicago,4,4,Long Beach St.,1,1
2007,Long Beach,3,Long Beach St.,6,1,Pepperdine,3,3
2007,Long Beach,4,UCLA,3,2,Illinois-Chicago,1,4
2007,Long Beach,5,Long Beach St.,4,1,Illinois-Chicago,3,4
2007,Long Beach,6,UCLA,7,2,Long Beach St.,4,1
2007,Round Rock,1,UC Irvine,13,2,Wake Forest,0,3
2007,Round Rock,2,Texas,8,1,Brown,2,4
2007,Round Rock,3,Wake Forest,4,3,Brown,2,4
2007,Round Rock,4,UC Irvine,3,2,Texas,1,1
2007,Round Rock,5,Texas,7,1,Wake Forest,4,3
2007,Round Rock,6,UC Irvine,9,2,Texas,6,1
2007,Wichita,1,Arizona,4,2,Oral Roberts,3,3
2007,Wichita,2,New Orleans,7,4,Wichita St.,6,1
2007,Wichita,3,Wichita St.,11,1,Oral Roberts,4,3
2007,Wichita,4,Arizona,9,2,New Orleans,8,4
2007,Wichita,5,Wichita St.,7,1,New Orleans,3,4
2007,Wichita,6,Wichita St.,4,1,Arizona,3,2
2007,Wichita,7,Wichita St.,3,1,Arizona,0,2
2007,Tempe,1,UC Riverside,10,2,Nebraska,5,3
2007,Tempe,2,Arizona St.,5,1,Monmouth,3,4
2007,Tempe,3,Nebraska,6,3,Monmouth,5,4
2007,Tempe,4,Arizona St.,9,1,UC Riverside,2,2
2007,Tempe,5,Nebraska,11,3,UC Riverside,1,2
2007,Tempe,6,Arizona St.,19,1,Nebraska,7,3
2007,"Oxford, MS",1,Southern Miss.,14,2,Troy,1,3
2007,"Oxford, MS",2,Mississippi,14,1,Sam Houston St.,5,4
2007,"Oxford, MS",3,Sam Houston St.,5,4,Troy,4,3
2007,"Oxford, MS",4,Mississippi,4,1,Southern Miss.,0,2
2007,"Oxford, MS",5,Sam Houston St.,12,4,Southern Miss.,11,2
2007,"Oxford, MS",6,Mississippi,21,1,Sam Houston St.,13,4
2007,Chapel Hill,1,East Carolina,9,2,Western Carolina,8,3
2007,Chapel Hill,2,North Carolina,6,1,Jacksonville,0,4
2007,Chapel Hill,3,Western Carolina,7,3,Jacksonville,0,4
2007,Chapel Hill,4,North Carolina,11,1,East Carolina,10,2
2007,Chapel Hill,5,Western Carolina,9,3,East Carolina,5,2
2007,Chapel Hill,6,North Carolina,6,1,Western Carolina,5,3
2007,"Columbia, SC",1,NC Charlotte,6,3,North Carolina St.,3,2
2007,"Columbia, SC",2,South Carolina,9,1,Wofford,1,4
2007,"Columbia, SC",3,North Carolina St.,10,2,Wofford,6,4
2007,"Columbia, SC",4,South Carolina,12,1,NC Charlotte,8,3
2007,"Columbia, SC",5,NC Charlotte,12,3,North Carolina St.,10,2
2007,"Columbia, SC",6,South Carolina,11,1,NC Charlotte,6,3
2007,Tallahassee,1,Mississippi St.,6,2,Stetson,3,3
2007,Tallahassee,2,Florida St.,6,1,Bethune-Cookman,2,4
2007,Tallahassee,3,Stetson,12,3,Bethune-Cookman,0,4
2007,Tallahassee,4,Mississippi St.,3,2,Florida St.,0,1
2007,Tallahassee,5,Florida St.,17,1,Stetson,1,3
2007,Tallahassee,6,Mississippi St.,9,2,Florida St.,4,1
2007,Myrtle Beach,1,Clemson,3,2,St. John's,2,3
2007,Myrtle Beach,2,Coastal Carolina,7,1,Virginia Commonwealth,1,4
2007,Myrtle Beach,3,St. John's,5,3,Virginia Commonwealth,4,4
2007,Myrtle Beach,4,Clemson,11,2,Coastal Carolina,8,1
2007,Myrtle Beach,5,Coastal Carolina,6,1,St. John's,3,3
2007,Myrtle Beach,6,Clemson,15,2,Coastal Carolina,3,1
2007,Houston,1,TCU,3,2,Baylor,2,3
2007,Houston,2,Rice,5,1,Prairie View A&M,0,4
2007,Houston,3,Baylor,9,3,Prairie View A&M,2,4
2007,Houston,4,Rice,6,1,TCU,3,2
2007,Houston,5,TCU,10,2,Baylor,5,3
2007,Houston,6,Rice,3,1,TCU,1,2
2007,College Station,1,Louisiana-Lafayette,5,2,Ohio State,4,3
2007,College Station,2,Texas A&M,7,1,LeMoyne,2,4
2007,College Station,3,Ohio State,6,3,LeMoyne,5,4
2007,College Station,4,Louisiana-Lafayette,5,2,Texas A&M,4,1
2007,College Station,5,Texas A&M,10,1,Ohio State,4,3
2007,College Station,6,Texas A&M,4,1,Louisiana-Lafayette,1,2
2007,College Station,7,Texas A&M,5,1,Louisiana-Lafayette,2,2
2007,Fayetteville,1,Oklahoma St.,6,3,Creighton,4,2
2007,Fayetteville,2,Arkansas,9,1,Albany,0,4
2007,Fayetteville,3,Creighton,21,2,Albany,11,4
2007,Fayetteville,4,Oklahoma St.,14,3,Arkansas,3,1
2007,Fayetteville,5,Arkansas,6,1,Creighton,0,2
2007,Fayetteville,6,Oklahoma St.,7,3,Arkansas,6,1
2007,"Columbia, MO",1,Louisville,13,3,Miami,7,2
2007,"Columbia, MO",2,Missouri,10,1,Kent State,2,4
2007,"Columbia, MO",3,Miami,8,2,Kent State,7,4
2007,"Columbia, MO",4,Missouri,7,1,Louisville,5,3
2007,"Columbia, MO",5,Louisville,8,3,Miami,7,2
2007,"Columbia, MO",6,Louisville,4,3,Missouri,3,1
2007,"Columbia, MO",7,Louisville,16,3,Missouri,6,1
2008,Ann Arbor,1,Arizona,13,1,Eastern Michigan,7,4
2008,Ann Arbor,2,Michigan,7,2,Kentucky,5,3
2008,Ann Arbor,3,Kentucky,4,3,Eastern Michigan,3,4
2008,Ann Arbor,4,Arizona,4,1,Michigan,3,2
2008,Ann Arbor,5,Kentucky,12,3,Michigan,6,2
2008,Ann Arbor,6,Arizona,5,1,Kentucky,3,3
2008,Athens,1,Lipscomb,10,4,Georgia,7,1
2008,Athens,2,Georgia Tech,8,2,Louisville,5,3
2008,Athens,3,Georgia,9,1,Louisville,8,3
2008,Athens,4,Georgia Tech,6,2,Lipscomb,3,4
2008,Athens,5,Georgia,14,1,Lipscomb,3,4
2008,Athens,6,Georgia,8,1,Georgia Tech,0,2
2008,Athens,7,Georgia,18,1,Georgia Tech,6,2
2008,Baton Rouge,1,Southern Miss.,13,2,New Orleans,6,3
2008,Baton Rouge,2,LSU,12,1,Texas Southern,1,4
2008,Baton Rouge,3,New Orleans,18,3,Texas Southern,5,4
2008,Baton Rouge,4,LSU,13,1,Southern Miss.,4,2
2008,Baton Rouge,5,Southern Miss.,8,2,New Orleans,2,3
2008,Baton Rouge,6,LSU,11,1,Southern Miss.,4,2
2008,"Cary, NC",1,UNC Wilmington,5,2,Elon,2,3
2008,"Cary, NC",2,North Carolina,16,1,Mt. St. Mary's,8,4
2008,"Cary, NC",3,Elon,6,3,Mt. St. Mary's,3,4
2008,"Cary, NC",4,North Carolina,5,1,UNC Wilmington,1,2
2008,"Cary, NC",5,UNC Wilmington,15,2,Elon,11,3
2008,"Cary, NC",6,North Carolina,7,1,UNC Wilmington,3,2
2008,"Conway, SC",1,Coastal Carolina,10,1,Columbia,2,4
2008,"Conway, SC",2,Alabama,16,3,East Carolina,3,2
2008,"Conway, SC",3,East Carolina,9,2,Columbia,0,4
2008,"Conway, SC",4,Coastal Carolina,13,1,Alabama,10,3
2008,"Conway, SC",5,East Carolina,16,2,Alabama,1,3
2008,"Conway, SC",6,Coastal Carolina,24,1,East Carolina,11,2
2008,Coral Gables,1,Missouri,7,2,Mississippi,0,3
2008,Coral Gables,2,Miami,7,1,Bethune-Cookman,4,4
2008,Coral Gables,3,Mississippi,14,3,Bethune-Cookman,1,4
2008,Coral Gables,4,Miami,6,1,Missouri,5,2
2008,Coral Gables,5,Mississippi,9,3,Missouri,6,2
2008,Coral Gables,6,Miami,11,1,Mississippi,2,3
2008,College Station,1,Houston,9,3,Dallas Baptist,5,2
2008,College Station,2,Texas A&M,15,1,Illinois-Chicago,1,4
2008,College Station,3,Illinois-Chicago,9,4,Dallas Baptist,5,2
2008,College Station,4,Texas A&M,22,1,Houston,4,3
2008,College Station,5,Houston,14,3,Illinois-Chicago,11,4
2008,College Station,6,Houston,4,3,Texas A&M,3,1
2008,College Station,7,Texas A&M,13,1,Houston,5,3
2008,Fullerton,1,UCLA,3,2,Virginia,2,3
2008,Fullerton,2,Cal State Fullerton,11,1,Rider,0,4
2008,Fullerton,3,Virginia,8,3,Rider,2,4
2008,Fullerton,4,UCLA,11,2,Cal State Fullerton,4,1
2008,Fullerton,5,Cal State Fullerton,4,1,Virginia,1,3
2008,Fullerton,6,Cal State Fullerton,11,1,UCLA,8,2
2008,Fullerton,7,Cal State Fullerton,5,1,UCLA,4,2
2008,Houston,1,St. John's,2,3,Texas,1,2
2008,Houston,2,Rice,3,1,Sam Houston St.,2,4
2008,Houston,3,Texas,13,2,Sam Houston St.,3,4
2008,Houston,4,Rice,11,1,St. John's,2,3
2008,Houston,5,Texas,4,2,St. John's,3,3
2008,Houston,6,Rice,7,1,Texas,4,2
2008,Lincoln,1,Nebraska,13,1,Eastern Illinois,10,4
2008,Lincoln,2,UC Irvine,9,2,Oral Roberts,7,3
2008,Lincoln,3,Oral Roberts,8,3,Eastern Illinois,7,4
2008,Lincoln,4,UC Irvine,3,2,Nebraska,2,1
2008,Lincoln,5,Oral Roberts,8,3,Nebraska,0,1
2008,Lincoln,6,UC Irvine,8,2,Oral Roberts,0,3
2008,Long Beach,1,San Diego,5,2,California,0,3
2008,Long Beach,2,Fresno St.,7,4,Long Beach St.,3,1
2008,Long Beach,3,Long Beach St.,9,1,California,2,3
2008,Long Beach,4,Fresno St.,6,4,San Diego,0,2
2008,Long Beach,5,San Diego,5,2,Long Beach St.,1,1
2008,Long Beach,6,San Diego,15,2,Fresno St.,1,4
2008,Long Beach,7,Fresno St.,5,4,San Diego,1,2
2008,Raleigh,1,South Carolina,15,2,Charlotte,8,3
2008,Raleigh,2,North Carolina St.,6,1,James Madison,2,4
2008,Raleigh,3,James Madison,13,4,Charlotte,12,3
2008,Raleigh,4,North Carolina St.,5,1,South Carolina,4,2
2008,Raleigh,5,South Carolina,7,2,James Madison,5,4
2008,Raleigh,6,North Carolina St.,2,1,South Carolina,1,2
2008,Stanford,1,Pepperdine,4,2,Arkansas,3,3
2008,Stanford,2,UC Davis,4,4,Stanford,2,1
2008,Stanford,3,Stanford,5,1,Arkansas,1,3
2008,Stanford,4,Pepperdine,7,2,UC Davis,4,4
2008,Stanford,5,Stanford,8,1,UC Davis,4,4
2008,Stanford,6,Stanford,13,1,Pepperdine,1,2
2008,Stanford,7,Stanford,9,1,Pepperdine,7,2
2008,"Stillwater, OK",1,Wichita St.,8,2,TCU,5,3
2008,"Stillwater, OK",2,Oklahoma St.,5,1,Western Kentucky,3,4
2008,"Stillwater, OK",3,TCU,10,3,Western Kentucky,5,4
2008,"Stillwater, OK",4,Wichita St.,5,2,Oklahoma St.,3,1
2008,"Stillwater, OK",5,Oklahoma St.,9,1,TCU,8,3
2008,"Stillwater, OK",6,Wichita St.,11,2,Oklahoma St.,7,1
2008,"Tallahassee, FL",1,Tulane,7,3,Florida,4,2
2008,"Tallahassee, FL",2,Bucknell,7,4,Florida State,0,1
2008,"Tallahassee, FL",3,Florida State,17,1,Florida,11,2
2008,"Tallahassee, FL",4,Tulane,4,3,Bucknell,1,4
2008,"Tallahassee, FL",5,Florida State,24,1,Bucknell,9,4
2008,"Tallahassee, FL",6,Florida State,17,1,Tulane,8,3
2008,"Tallahassee, FL",7,Florida State,16,1,Tulane,7,3
2008,"Tempe, AZ",1,Oklahoma,8,3,Vanderbilt,5,2
2008,"Tempe, AZ",2,Arizona St.,9,1,Stony Brook,7,4
2008,"Tempe, AZ",3,Vanderbilt,9,2,Stony Brook,4,4
2008,"Tempe, AZ",4,Arizona St.,15,1,Oklahoma,3,3
2008,"Tempe, AZ",5,Oklahoma,11,3,Vanderbilt,10,2
2008,"Tempe, AZ",6,Arizona St.,12,1,Oklahoma,0,3
